arm,seed,n_completed,n_edge,n_cloud,edge_revenue,edge_true_cost,edge_profit,edge_margin_pct,n_edge_loss_making,cloud_revenue,cloud_true_cost,cloud_profit,total_revenue,total_user_spend,edge_mean_a_buyer,edge_mean_surplus,edge_surplus_pct_of_valuation,cloud_mean_a_buyer,cloud_mean_surplus,cloud_surplus_pct_of_valuation,n_ir_violations,n_tasks_cap
HEDGE_C_Kmax0,14,9968,0,9968,0,0,0,nan,0,26486.548986,17657.699324,8828.849662,26486.548986,26486.548986,nan,nan,nan,5.55734790829954,2.9001901047281113,52.186585266631674,0,320000
HEDGE_C_Kmax0,15,11476,0,11476,0,0,0,nan,0,30545.55848446667,20363.705656311115,10181.852828155555,30545.55848446667,30545.55848446667,nan,nan,nan,5.590715568157334,2.9290252157290784,52.390882348079586,0,320000
HEDGE_C_Kmax0,16,13172,0,13172,0,0,0,nan,0,35068.570592933334,23379.047061955556,11689.523530977778,35068.570592933334,35068.570592933334,nan,nan,nan,5.74010352470291,3.077746206684892,53.6183048518134,0,320000
HEDGE_C_Kmax0,17,11039,0,11039,0,0,0,nan,0,29361.551824466667,19574.36788297778,9787.18394148889,29361.551824466667,29361.551824466667,nan,nan,nan,5.671902675679631,3.012100897940101,53.105652021421164,0,320000
HEDGE_C_Kmax0,18,10325,0,10325,0,0,0,nan,0,26982.871777800003,17988.5811852,8994.290592600002,26982.871777800003,26982.871777800003,nan,nan,nan,5.448805377153484,2.835452178335082,52.0380520512618,0,320000
HEDGE_C_Kmax0,19,11216,0,11216,0,0,0,nan,0,29833.554479466668,19889.036319644445,9944.518159822223,29833.554479466668,29833.554479466668,nan,nan,nan,5.681527391335015,3.0216170418818526,53.18318180583213,0,320000
HEDGE_C_Kmax0,20,11101,0,11101,0,0,0,nan,0,29545.55285946667,19697.035239644447,9848.517619822222,29545.55285946667,29545.55285946667,nan,nan,nan,5.993483784341994,3.331962042204649,55.593076782979146,0,320000
HEDGE_C_Kmax0,21,11215,0,11215,0,0,0,nan,0,29641.020063133335,19760.68004208889,9880.340021044445,29641.020063133335,29641.020063133335,nan,nan,nan,5.98044267967968,3.3374627364667204,55.80628249822937,0,320000
HEDGE_C_Kmax0,22,9496,0,9496,0,0,0,nan,0,25265.4221172,16843.6147448,8421.807372399999,25265.4221172,25265.4221172,nan,nan,nan,5.511014541994698,2.850376155600427,51.72144137672227,0,320000
HEDGE_C_Kmax0,23,9183,0,9183,0,0,0,nan,0,24200.136125,16133.424083333335,8066.712041666666,24200.136125,24200.136125,nan,nan,nan,5.543216413436234,2.907897223084497,52.45866309740367,0,320000
