experiment,algorithm,seed,N_nodes,K_max,arrival_rate,arm,floor_violations,is_resale_violations,n_tasks_evaluated,n_completed,n_rejected,cfg_pi_co2,cfg_lambda_max,cfg_enable_resale,cfg_predictor_mode,M1_p50_latency_s,M1_p95_latency_s,M1_p99_latency_s,M1_mean_latency_s,M2_mean_cost_usd,M3_system_utilisation,M4_utilisation_variance,M5_market_revenue_usd,M6_rejection_rate,M7_carbon_g_per_task,M8_quote_variance,M9_edge_service_fraction,M10_completion_rate,M11_jfi,M12_tsfr,M13_err,M14_rmse_load,M14_rmse_revenue,M15_energy_joules_per_task,M16_myerson_efficiency,M17_primary_offload_fraction
hedge_c_widecom,HEDGE,20,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09561433177552967,0.316016381578755,0.316016381578755,0.12451504055527808,0.3116013052687888,0.04781004875887851,0.021813031185925005,627.7893101124746,0.0,259.4556988712258,2.416701410553881e-25,0.8830188679245283,1.0,0.07934388654464293,0.0,0.0,0.0,0.2966486321264516,11675480.298629023,0.11078269182541438,0.8056603773584906
hedge_c_widecom,HEDGE,21,125,15,6.0,HEDGE_C,0,0,2474864,2474864,0,0.0,0.0,False,instantaneous,0.09256220012240035,0.3153846487692329,0.3153846487692329,0.12463985852302092,0.3132389152838292,0.042677831989355874,0.0208249191432011,630.3444384652366,0.0,260.8198620341511,2.0477635518856394e-25,0.881578947368421,1.0,0.07276600437910949,0.0,0.0,0.0,0.2366441155491237,11736853.454206377,0.11070009720547672,0.8383458646616542
hedge_c_widecom,HEDGE,22,125,15,6.0,HEDGE_C,0,0,2475191,2475191,0,0.0,0.0,False,instantaneous,0.09413741361147226,0.3143245551427022,0.3143245551427022,0.12318595117374175,0.26681790608662453,0.04439898013740032,0.020953838377534496,620.1817349914672,0.0,222.13938931474544,2.0014618617656052e-25,0.8998109640831758,1.0,0.07569807565724435,0.0,0.0,0.0,0.2683289444049263,9996228.995181026,0.09457770382536758,0.8487712665406427
hedge_c_widecom,HEDGE,23,125,15,6.0,HEDGE_C,0,0,2474736,2474736,0,0.0,0.0,False,instantaneous,0.09400247016384768,0.30839284862670874,0.30839284862670874,0.12376996467846889,0.25481801831416495,0.04216995746911421,0.021752112672806946,670.9799987232766,0.0,212.12239100576343,2.276493675544705e-25,0.9034090909090909,1.0,0.07279154146833867,0.0,0.0,0.0,0.2828436231302212,9545465.327668143,0.09202950602735678,0.8257575757575758
hedge_c_widecom,HEDGE,24,125,15,6.0,HEDGE_C,0,0,2475191,2475191,0,0.0,0.0,False,instantaneous,0.09372408191529556,0.31149048372834726,0.31149048372834726,0.1277849317123634,0.4331500667171823,0.04478488570711159,0.02157833992744492,569.7326333024511,0.0,360.7653966308564,2.0320642048311668e-25,0.8374291115311909,1.0,0.07467043284817045,0.0,0.0,0.0,0.26832873231334237,16234413.957885927,0.15406628284393042,0.775047258979206
hedge_c_widecom,HEDGE,25,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09551031920180252,0.29771970138498766,0.29771970138498766,0.1256063071588649,0.3397707366916214,0.039854939384823485,0.01978909345846503,610.8900780986754,0.0,282.93595608848034,1.6847977248099277e-25,0.8716981132075472,1.0,0.06821618679759436,0.0,0.0,0.0,0.23664411125073287,12732083.790140204,0.12190638798155459,0.8150943396226416
hedge_c_widecom,HEDGE,26,125,15,6.0,HEDGE_C,0,0,2474736,2474736,0,0.0,0.0,False,instantaneous,0.09619259640495535,0.30755488158462874,0.30755488158462874,0.12718581387008837,0.3554023643886209,0.04114415115524812,0.020168678017898543,615.8417900379644,0.0,295.96031019695386,2.0864730430678755e-25,0.865530303030303,1.0,0.07109447266550362,0.0,0.0,0.0,0.2683289411296011,13318188.99201002,0.12579609109588535,0.803030303030303
hedge_c_widecom,HEDGE,27,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09582350814264831,0.2756106241380113,0.2756106241380113,0.12427909661346133,0.3466235612098104,0.041857312410567664,0.020307340783435174,635.6874417349997,0.0,288.63815823903303,2.0482951167961214e-25,0.8679245283018868,1.0,0.07050673275833873,0.0,0.0,0.0,0.28284355290686075,12988687.157567695,0.1266135636697875,0.8169811320754717
hedge_c_widecom,HEDGE,28,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09558066166390805,0.2880571934481687,0.2880571934481687,0.12477307311863337,0.3190584248087907,0.04257452652913319,0.021685092223126496,653.8688762378741,0.0,265.66130729276654,2.44956165234781e-25,0.879245283018868,1.0,0.07274474214388081,0.0,0.0,0.0,0.32249103442642457,11954726.831897227,0.11377657440144015,0.8207547169811321
hedge_c_widecom,HEDGE,29,125,15,6.0,HEDGE_C,0,0,2475191,2475191,0,0.0,0.0,False,instantaneous,0.09408593813562859,0.30443232536212994,0.30443232536212994,0.1270751024860077,0.33274764635513154,0.0406936730662954,0.020439554034335304,604.443460137715,0.0,277.0854505230735,1.9545494359055572e-25,0.8752362948960303,1.0,0.07140653382574236,0.0,0.0,0.0,0.2683288967241218,12468818.603900962,0.11708225960196156,0.8355387523629489
hedge_c_widecom,HEDGE,0,125,0,6.0,HEDGE_C_Kmax0,0,0,2475191,252666,2222525,0.0,0.0,False,instantaneous,0.3384274756677459,0.3384274756677459,0.3384274756677459,0.32460766085293113,2.6607557074074077,0.0,0.0,0.0,0.8979206049149339,2217.283950617284,2.61012178719941e-54,0.0,0.10207939508506614,1.0,0.0,0.0,0.0,1.0,99777777.77777778,0.7509477961969119,0.0
hedge_c_widecom,HEDGE,1,125,0,6.0,HEDGE_C_Kmax0,0,0,2475100,322230,2152870,0.0,0.0,False,instantaneous,0.2714745464215119,0.2714745464215119,0.2714745464215119,0.2554203435229612,2.6187586917874395,0.0,0.0,0.0,0.869811320754717,2182.2866344605472,2.61012178719941e-54,0.0,0.130188679245283,1.0,0.0,0.0,0.0,1.0,98202898.55072464,0.6952367278014887,0.0
hedge_c_widecom,HEDGE,2,125,0,6.0,HEDGE_C_Kmax0,0,0,2474792,328720,2146072,0.0,0.0,False,instantaneous,0.29582650148799583,0.29582650148799583,0.29582650148799583,0.2847187872022816,2.6605863942857138,0.0,0.0,0.0,0.8671726755218216,2217.142857142858,1.044048714879764e-53,0.0,0.13282732447817835,1.0,0.0,0.0,0.0,1.0,99771428.57142857,0.712050663630954,0.0
hedge_c_widecom,HEDGE,3,125,0,6.0,HEDGE_C_Kmax0,0,0,2474991,270338,2204653,0.0,0.0,False,instantaneous,0.30481775226587615,0.30481775226587615,0.30481775226587615,0.2896272350244969,2.6354171229885055,0.0,0.0,0.0,0.8907721280602636,2196.1685823754788,2.61012178719941e-54,0.0,0.10922787193973638,1.0,0.0,0.0,0.0,1.0,98827586.20689656,0.7287983322725599,0.0
hedge_c_widecom,HEDGE,4,125,0,6.0,HEDGE_C_Kmax0,0,0,2474792,295848,2178944,0.0,0.0,False,instantaneous,0.3046997774046697,0.3046997774046697,0.3046997774046697,0.29263803137292366,2.6395915671957666,0.0,0.0,0.0,0.8804554079696395,2199.6472663139334,2.61012178719941e-54,0.0,0.1195445920303605,1.0,0.0,0.0,0.0,1.0,98984126.98412699,0.7250050283529005,0.0
